"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0002001","40","28","1","3","0","0","1","0","0","0","7","23","17","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","3","7","0","2","0","2","2","3","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","3","0","0","0","0","0","1","0","13","3","1","1","0","0","0","0","10","1","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","1","1","3","0","1","0","0","0","0","0","0"
"s25","voters","0002002","1351","872","168","27","4","5","6","0","3","0","266","575","776","44","3","14","4","96","8","18","5","5","6","10","0","5","3","1","0","44","11","24","0","25","0","5","1","4","2","0","1","7","2","3","0","0","12","78","50","46","40","126","0","29","104","69","50","50","218","0","1","5","6","8","8","53","0","1","2","4","8","5","67","0","7","22","20","13","24","36","0","10","17","18","26","20","53","0","1","2","2","4","3","8","0","1","2","5","1","5","11","576","145","67","20","10","4","9","2","39","80","31","17","8","5","3","2","1","21","172","31","22","16","7","0","5","1","12","41","2","1","0","0","0","0","0","1"
"s25","voters","0002003","2264","1473","264","40","2","7","8","0","6","0","464","1070","1194","32","2","8","3","141","22","31","2","15","2","3","0","14","3","6","0","107","40","89","4","58","4","24","2","11","4","5","0","8","0","2","0","6","58","66","48","84","119","251","0","70","106","63","119","157","326","1","5","6","7","16","34","79","0","5","4","13","12","27","55","2","21","20","24","52","62","77","1","20","18","22","37","50","58","0","5","2","1","3","10","11","0","1","1","3","3","8","15","761","237","172","47","27","6","14","10","199","140","34","20","10","1","2","3","1","53","264","65","47","19","14","2","6","4","43","46","9","3","0","1","0","1","0","3"
"s25","voters","0002005","1059","717","87","9","2","0","7","0","3","0","234","489","570","36","1","6","0","60","4","10","2","8","3","3","0","3","0","2","0","47","13","32","2","31","2","17","2","8","5","1","0","1","0","0","0","3","22","45","57","53","51","81","1","36","59","60","72","62","115","0","3","4","5","4","8","18","0","1","2","3","7","7","25","1","14","20","24","17","29","21","0","8","9","20","19","25","27","0","1","0","0","4","1","3","0","1","1","1","2","2","5","381","127","77","43","5","5","7","3","69","49","10","8","3","1","0","0","0","16","123","38","27","10","8","4","2","1","21","11","6","2","0","0","1","0","0","1"
"s25","voters","0002006","1062","608","116","20","3","2","2","0","4","0","307","483","579","25","1","6","2","39","4","7","3","11","4","9","1","14","2","2","0","73","28","113","5","32","5","23","2","5","0","2","1","6","0","4","0","2","22","33","23","42","43","78","1","39","38","25","67","68","127","0","2","5","2","11","18","29","0","2","0","2","7","16","22","1","12","14","12","37","44","40","3","10","4","16","40","40","34","0","2","0","2","0","4","5","0","2","1","3","2","6","4","321","109","53","23","14","5","3","3","77","62","19","11","2","2","0","3","2","15","156","52","33","14","9","4","6","3","30","19","4","3","1","0","1","0","1","2"
"s25","voters","0002009","1655","1016","168","31","4","4","8","0","6","0","418","800","855","50","4","14","1","82","12","15","2","10","2","5","0","18","6","7","0","92","34","112","9","45","2","22","0","10","5","3","1","7","1","3","2","4","27","77","58","60","73","147","5","51","68","60","66","104","216","1","2","5","5","12","24","42","0","4","3","6","15","15","34","3","15","30","27","49","48","64","3","11","26","21","33","41","47","0","1","1","1","6","8","10","0","1","3","0","4","5","13","588","148","100","30","20","5","8","5","112","80","27","13","7","1","0","3","2","35","223","50","56","26","7","5","8","4","39","39","5","4","0","1","1","0","0","3"
"s25","voters","0002010","2080","1341","173","26","7","2","9","0","13","0","509","1001","1079","72","3","20","5","116","16","30","2","15","2","11","0","15","1","4","0","112","48","131","3","43","6","23","4","9","3","8","1","14","1","5","0","2","49","76","53","72","108","232","7","54","88","69","109","125","297","1","5","8","5","19","25","36","0","3","3","7","6","23","32","2","27","31","35","52","56","71","1","19","27","28","53","54","53","0","3","4","8","5","7","9","0","1","1","3","6","5","5","732","204","131","44","30","11","9","8","172","103","25","13","3","5","1","1","0","22","268","87","53","27","7","4","8","1","54","36","14","2","0","1","0","0","0","4"
"s25","voters","0002013","1444","906","150","17","5","0","5","0","7","0","354","668","776","52","5","7","2","78","10","12","2","19","2","7","0","17","1","3","0","76","39","87","3","38","1","37","0","9","3","6","0","1","0","1","0","2","41","41","31","57","81","134","6","49","45","51","80","99","189","0","8","4","9","8","19","35","0","0","2","6","14","18","27","2","13","12","20","42","41","52","2","11","2","24","54","31","48","0","3","1","2","3","1","6","0","1","3","0","1","5","8","475","136","86","29","24","6","6","3","141","78","26","15","2","2","2","2","1","22","206","46","32","16","9","3","4","6","32","22","4","2","0","1","0","0","0","5"
"s25","voters","0002016","1331","824","103","13","0","1","8","0","5","0","377","635","696","37","1","11","2","77","5","16","3","13","3","9","0","8","2","0","1","80","24","119","1","39","0","26","1","4","0","2","0","5","3","6","1","2","30","21","38","64","59","137","9","35","32","57","83","77","180","0","1","3","2","9","19","22","0","0","1","6","13","10","17","0","14","25","36","34","43","65","0","11","12","19","30","41","47","0","2","0","1","0","5","3","1","0","2","3","2","6","2","405","158","98","29","17","6","8","2","101","56","12","12","2","2","1","1","1","16","205","58","34","20","10","7","8","1","34","19","3","3","1","0","0","0","1","0"
"s25","voters","0002019","1767","1057","172","18","2","2","9","0","8","0","499","832","935","35","10","15","2","120","8","28","1","16","4","14","1","8","4","2","0","127","37","183","3","49","4","28","1","8","0","0","1","7","0","6","0","4","37","48","33","58","101","161","3","45","56","56","104","118","233","1","2","6","5","17","27","40","0","0","3","4","14","16","37","6","26","26","31","64","68","50","1","18","12","25","38","75","59","0","2","6","2","0","5","6","0","2","0","4","7","1","4","552","175","95","38","26","7","15","8","141","89","24","16","7","2","1","2","0","31","261","72","70","19","10","4","12","2","49","21","6","3","2","1","1","0","0","5"
"s25","voters","0002022","258","156","28","7","0","1","0","0","0","0","66","95","163","2","0","0","1","52","4","10","0","3","1","0","0","1","0","2","0","11","9","17","1","1","0","1","0","0","4","0","0","1","0","0","0","0","3","0","2","4","3","36","0","2","8","2","5","3","88","0","0","0","0","4","2","11","0","0","0","1","0","1","9","0","2","0","4","5","1","16","0","3","0","5","3","2","25","0","0","0","0","0","0","2","0","0","2","1","0","1","2","109","23","7","1","3","8","2","2","1","19","5","2","0","0","0","0","0","2","33","13","8","2","3","1","3","2","1","7","0","1","0","0","0","0","0","0"
"s25","voters","0002030","1558","1067","117","23","2","2","10","0","9","0","328","735","823","44","2","16","3","92","4","21","2","10","1","2","0","7","0","2","1","70","12","49","4","20","0","10","1","3","0","1","0","0","0","0","0","6","31","81","47","62","62","173","1","37","96","48","84","91","248","1","0","4","4","9","16","24","0","3","2","2","12","15","25","1","7","33","25","36","38","51","1","7","14","18","25","25","47","1","3","3","3","1","6","7","0","2","1","2","3","5","9","637","139","101","31","19","8","7","4","121","59","20","11","2","7","1","0","1","16","173","58","31","14","10","4","7","1","30","28","8","6","0","1","0","1","0","2"
"s25","voters","0002032","1314","819","126","16","2","0","3","0","3","0","345","621","693","34","3","10","0","56","6","19","2","8","1","9","0","22","3","7","0","68","37","91","4","55","7","28","1","8","3","3","0","2","0","1","1","3","31","44","32","63","68","122","1","47","36","57","75","88","152","0","3","4","5","10","21","20","0","0","4","3","14","13","29","7","15","18","20","47","41","37","3","16","6","20","53","31","31","0","1","1","0","4","3","1","0","1","2","2","2","2","5","455","122","78","26","22","3","8","6","99","67","26","10","3","5","0","0","0","15","187","41","36","16","16","4","6","3","36","18","4","2","0","0","0","0","0","0"
"s25","voters","0002035","1726","1039","168","15","4","4","3","0","9","0","484","794","932","38","3","10","0","82","12","20","1","22","3","12","0","19","3","3","0","143","39","148","4","59","5","38","0","7","0","5","0","11","2","5","1","5","33","37","38","73","85","174","2","48","58","62","109","100","215","0","3","2","6","18","20","42","0","0","0","5","11","15","46","1","22","15","27","53","53","69","1","25","11","28","65","53","61","0","2","1","4","4","5","2","0","3","0","1","2","4","7","504","176","138","34","25","4","9","7","142","83","19","14","6","6","1","3","1","35","236","81","60","31","11","4","5","6","50","29","5","0","0","0","0","0","0","1"
"s25","voters","0002049","1386","971","106","11","0","3","6","0","4","0","285","627","759","37","5","13","0","99","3","18","2","7","1","4","0","17","0","3","0","50","12","29","0","33","4","9","2","9","1","6","0","3","0","1","0","5","26","38","41","48","65","171","0","44","55","65","66","81","266","0","0","2","4","9","14","30","0","0","3","4","6","6","28","2","19","17","21","20","45","39","1","2","8","16","19","27","49","1","0","2","0","4","3","1","0","1","1","0","4","2","5","564","157","74","33","19","5","16","7","96","52","15","14","2","2","1","0","0","20","157","38","35","7","5","4","6","4","29","17","4","3","0","0","0","0","0","0"
"s25","voters","0002068","1630","1063","174","28","0","5","11","0","1","0","348","788","842","28","3","9","0","119","5","22","1","10","0","2","0","18","0","4","0","83","19","62","2","72","2","18","1","4","4","3","0","0","0","1","0","2","39","35","35","56","95","211","4","54","43","39","84","113","253","0","1","5","1","11","28","55","0","2","2","2","8","20","39","1","16","14","24","34","40","61","0","8","10","20","34","37","49","0","5","2","0","3","6","8","0","1","1","2","4","3","10","545","160","116","31","22","2","16","7","164","79","19","12","6","2","2","3","0","51","189","59","25","16","10","2","4","1","42","31","4","7","0","1","0","0","0","2"
"s25","voters","0002075","1896","1233","180","38","1","6","8","0","2","0","428","880","1016","29","12","5","1","133","13","18","3","7","5","7","0","20","4","3","0","136","29","110","9","49","3","24","1","6","1","5","0","4","0","1","0","2","46","47","34","62","111","215","4","53","54","53","100","160","292","1","3","1","5","16","32","43","0","2","0","3","12","21","41","3","21","15","23","44","65","64","2","12","16","14","37","66","46","1","4","3","2","3","6","8","0","5","2","2","2","11","6","630","194","124","39","26","5","18","10","187","88","25","13","2","3","0","2","1","46","214","74","40","29","15","5","8","4","39","36","14","4","0","0","0","0","0","1"
"s25","voters","0002097","1760","1020","209","24","5","4","5","0","10","0","483","795","965","40","3","20","3","62","13","26","2","24","2","10","0","24","2","6","1","133","70","154","7","61","3","32","0","11","2","6","1","10","7","3","0","4","30","46","47","79","88","124","4","50","76","75","106","112","179","0","6","3","13","25","23","36","1","3","3","7","19","26","44","4","18","29","36","44","56","61","3","20","21","22","56","65","48","0","3","3","3","4","6","4","0","3","3","2","6","3","8","562","155","107","32","25","5","9","8","117","116","22","22","6","5","4","3","0","31","263","62","51","27","17","4","2","6","51","31","6","4","1","1","1","0","0","4"
"s25","voters","0002120","240","149","20","2","0","0","0","0","0","0","69","117","123","5","0","0","0","22","3","3","0","2","0","1","0","3","0","2","0","4","2","12","0","7","0","8","0","4","0","0","0","0","0","0","0","2","4","6","2","14","13","26","1","10","6","6","16","14","29","0","0","0","0","2","1","7","0","0","1","0","0","2","7","1","3","4","3","6","12","9","0","4","3","1","7","10","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","79","30","17","6","2","0","2","0","13","9","2","0","0","1","1","0","0","7","35","9","7","6","4","2","0","0","6","2","0","0","0","0","0","0","0","0"
