"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","10020","1222","814","158","28","3","14","8","0","13","0","184","527","695","90","15","22","12","48","9","6","5","1","0","0","0","2","0","0","1","7","1","0","1","3","0","2","0","2","0","0","0","4","2","4","1","0","13","40","32","45","61","125","2","25","60","64","52","78","217","0","2","11","8","8","18","39","1","1","4","5","3","14","44","1","5","10","21","12","15","33","0","7","14","13","11","17","25","0","2","7","1","2","2","14","0","4","6","4","7","9","8","492","118","81","26","27","9","9","3","49","96","19","19","5","3","0","1","1","14","109","26","23","10","1","2","5","2","6","46","11","4","2","0","1","1","0","1"
"s25","voters","10060","1220","866","113","30","2","11","7","0","9","0","182","551","669","102","7","13","2","53","5","10","5","1","1","0","0","4","0","0","2","9","5","3","0","5","0","0","0","1","0","1","0","7","0","2","1","2","21","40","54","30","59","146","1","29","60","63","64","76","221","0","1","1","5","8","15","30","0","1","3","2","3","13","31","1","4","5","22","22","16","36","0","6","10","14","13","13","20","0","1","1","5","6","8","12","0","0","6","6","5","3","6","490","127","83","29","23","11","13","3","87","62","14","9","4","7","1","2","1","13","101","24","20","9","4","2","2","5","15","45","8","1","1","0","1","0","1","2"
"s25","voters","10080","1314","948","152","29","4","10","11","0","9","0","151","548","766","134","13","32","9","36","4","8","1","1","0","0","0","6","2","1","0","7","2","3","0","3","0","0","0","1","0","0","0","4","0","3","1","1","17","33","39","53","65","153","4","32","58","78","68","103","244","0","4","3","2","5","18","44","0","0","5","3","5","18","45","0","2","16","17","10","13","16","2","6","13","16","10","10","20","0","1","3","3","4","10","16","0","5","5","2","4","1","9","509","147","105","50","26","5","18","8","80","78","15","13","11","5","0","2","3","25","85","21","19","10","3","1","4","0","8","43","9","4","1","1","1","3","1","0"
"s25","voters","10090","1290","918","125","31","8","6","9","0","21","0","172","540","750","141","12","16","8","47","3","12","6","0","0","1","0","3","3","0","0","7","0","2","0","3","0","2","1","1","0","1","0","7","2","1","1","2","23","34","67","54","59","123","2","46","75","99","83","90","161","0","3","4","6","9","13","30","0","2","4","4","12","12","26","0","3","6","12","22","14","22","2","6","7","17","16","16","29","0","3","2","7","5","3","14","0","6","5","4","11","4","11","501","152","98","34","20","8","9","5","91","66","16","20","2","1","0","1","0","19","86","16","21","15","6","0","6","0","22","51","9","8","2","1","0","1","0","3"
"s25","voters","10110","1181","804","146","33","4","9","7","0","9","0","169","524","657","149","16","31","9","44","2","8","3","0","0","0","0","7","0","0","0","6","3","3","1","2","1","3","0","2","0","0","0","10","1","5","1","4","19","37","46","56","58","100","2","36","47","87","84","70","158","0","4","6","8","11","15","39","0","2","6","8","7","13","27","1","11","13","15","14","20","20","1","8","10","15","14","11","16","1","3","2","6","2","4","9","0","2","1","5","6","8","13","456","129","88","31","18","6","7","9","60","85","19","13","3","2","3","2","0","19","86","21","14","16","8","1","5","2","16","42","10","2","6","1","0","0","0","1"
"s25","voters","10130","1152","754","163","41","4","5","7","0","6","1","171","479","673","119","17","33","7","41","5","8","3","3","0","0","0","7","0","1","0","9","0","3","0","3","3","2","0","1","2","0","0","7","2","0","2","4","21","31","32","40","43","113","4","30","52","58","62","55","209","0","4","0","5","10","18","38","0","4","4","7","10","22","41","3","11","12","21","15","9","16","1","10","8","11","16","17","21","1","2","0","5","5","12","8","0","1","3","3","4","4","16","435","110","72","37","21","2","7","7","63","96","21","8","7","2","0","4","3","22","91","19","23","10","4","6","5","2","11","41","7","10","2","2","0","0","0","2"
"s25","voters","10140","572","326","139","23","2","5","5","0","2","0","70","261","311","13","5","4","1","19","7","5","1","0","0","0","0","4","0","0","0","3","0","0","0","0","0","0","0","5","0","0","0","0","2","0","0","0","5","7","13","16","18","80","0","10","14","20","18","35","90","1","2","7","5","5","17","31","1","2","4","7","5","19","33","0","2","7","5","7","6","11","0","3","7","6","3","3","10","1","0","2","3","0","3","7","0","3","4","2","2","3","7","159","60","42","11","8","0","7","3","36","67","19","12","3","7","3","1","0","27","33","10","9","5","4","1","1","1","6","22","8","3","0","0","0","0","0","4"
"s25","voters","10144","1109","693","191","28","4","9","12","0","14","2","156","545","564","33","1","3","1","45","4","4","2","4","0","0","0","2","0","2","0","8","1","2","0","9","4","2","0","1","0","0","0","0","0","1","1","0","11","23","30","44","55","142","2","20","36","49","53","61","167","0","6","4","11","13","21","53","0","2","3","8","6","21","43","0","4","9","16","15","15","37","0","6","5","11","10","15","13","0","2","1","6","8","4","15","2","1","4","6","9","4","7","353","99","89","31","23","8","10","9","71","94","24","29","8","7","0","2","1","26","64","28","17","13","9","3","4","2","16","49","6","3","4","0","1","1","0","5"
"s25","voters","10161","576","329","129","19","1","6","3","0","5","0","84","271","305","22","2","5","2","12","6","4","0","0","0","0","0","7","0","0","0","2","1","1","0","0","0","0","0","3","0","0","0","2","0","1","0","0","9","14","16","18","17","63","2","10","14","36","22","30","78","0","2","4","4","10","11","34","1","3","3","7","5","17","28","0","0","5","13","6","9","17","0","5","4","8","5","7","5","0","0","3","2","2","7","5","0","2","3","2","2","3","3","168","61","37","11","17","2","2","2","29","63","11","20","3","6","1","3","0","22","44","10","8","4","2","3","5","0","8","25","4","4","1","0","0","0","0","0"
"s25","voters","10190","1179","780","142","36","3","7","6","0","14","0","191","554","625","56","5","17","2","52","4","9","4","2","0","1","0","7","0","1","0","7","1","1","0","2","1","1","0","0","0","1","0","1","0","0","0","1","10","37","45","36","65","138","1","27","66","55","64","74","161","0","2","5","8","13","16","37","0","4","2","6","7","16","26","0","5","16","25","23","16","23","0","6","10","23","6","17","21","1","0","1","5","5","15","6","0","3","4","3","3","11","9","456","123","80","24","18","2","5","7","65","84","15","19","5","4","3","1","2","9","108","21","16","9","9","1","5","0","22","47","14","2","1","2","0","0","0","0"
