"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101","150","30","82","6","0","1","1","0","0","0","30","76","74","0","5","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","4","8","0","0","0","1","3","4","7","0","1","2","1","4","9","24","0","2","1","0","4","12","22","0","1","1","5","1","3","6","0","0","1","1","1","3","7","0","0","0","0","0","3","0","0","0","1","1","1","2","0","13","5","3","1","0","1","0","2","5","29","18","14","2","2","0","0","3","14","12","7","5","3","2","0","0","0","1","3","2","1","0","0","0","0","0","2"
"s25","voters","102","37","11","15","5","0","1","0","0","0","0","5","17","20","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","5","0","0","0","0","2","1","5","0","0","0","0","1","3","3","0","0","0","0","0","0","2","0","0","0","1","0","0","2","0","0","0","0","0","0","4","0","0","0","0","0","1","1","4","3","1","0","0","0","0","0","3","5","4","2","0","0","1","0","0","3","2","2","0","1","0","0","0","0","0","2","3","0","0","1","0","0","0","0"
"s25","voters","103","24","4","14","1","0","0","0","0","0","0","5","14","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","3","4","0","0","1","0","0","2","2","0","0","0","0","0","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","8","0","1","0","1","0","1","0","3","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"s25","voters","104","73","28","25","0","1","1","1","0","3","0","14","40","33","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","6","0","0","1","2","2","7","4","0","1","0","3","2","5","7","0","0","1","2","0","2","2","0","0","0","2","2","1","2","0","0","0","2","0","3","2","0","0","0","1","0","1","1","0","0","0","0","0","1","2","16","3","5","1","0","0","0","0","3","13","2","5","0","2","0","0","0","3","4","2","0","3","2","1","1","0","1","2","1","0","1","0","0","0","0","2"
"s25","voters","105","171","61","69","8","0","5","1","0","0","0","27","83","88","3","0","0","1","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","19","0","1","0","0","3","9","22","0","0","1","4","4","6","20","0","0","0","2","3","11","18","0","1","2","0","2","3","8","0","1","0","1","2","3","4","0","0","0","0","1","3","2","0","0","0","0","0","3","5","25","8","10","4","2","1","0","1","10","25","8","10","6","4","4","0","1","11","13","3","7","2","1","1","0","0","0","7","3","1","1","0","0","0","0","2"
"s25","voters","106","55","32","13","3","0","0","0","0","0","0","7","27","28","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","9","0","1","0","2","1","5","10","0","0","0","1","0","1","6","0","0","0","0","0","1","4","0","0","0","0","0","1","3","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","1","15","6","3","1","1","1","1","0","4","7","2","1","0","0","2","0","0","1","1","1","0","0","1","0","0","0","4","1","1","1","0","0","0","0","0","0"
"s25","voters","107","29","10","12","2","0","0","1","0","0","0","4","15","14","1","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","4","0","0","0","0","0","2","5","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","2","0","0","0","0","0","1","0","7","1","1","0","0","0","1","0","0","6","3","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0"
"s25","voters","108","159","38","79","10","1","5","1","0","0","0","25","74","85","4","8","0","0","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","2","4","0","0","3","5","4","1","14","0","3","1","5","10","12","10","0","4","3","5","6","8","12","1","0","2","1","5","2","2","0","1","1","1","3","0","6","0","0","0","0","1","3","5","0","0","1","0","0","3","4","19","6","2","3","1","1","1","0","5","40","20","2","4","0","2","1","0","10","10","8","1","2","1","0","2","0","1","8","4","1","0","0","0","2","0","2"
"s25","voters","109","31","9","18","1","0","0","1","0","0","0","2","14","17","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","6","0","0","0","2","0","3","4","0","0","0","1","0","2","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","3","2","0","0","0","1","0","1","9","2","4","0","0","0","1","0","2","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"s25","voters","110","137","50","57","5","0","2","3","0","1","0","19","65","72","2","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","3","3","8","0","3","2","4","2","7","14","0","1","0","3","5","5","16","0","2","0","4","3","6","12","0","0","0","3","4","2","3","1","0","0","0","2","0","4","0","0","0","2","1","1","1","0","0","0","1","2","1","2","31","9","3","1","1","0","0","0","5","28","6","3","1","1","2","2","0","14","11","5","2","1","0","0","0","0","0","6","3","1","1","0","0","0","0","0"
