"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","M1001","142","27","91","4","0","0","1","0","0","0","19","66","76","3","0","1","3","2","8","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","3","4","0","0","1","0","5","3","10","0","1","0","5","3","10","30","0","1","3","2","2","14","20","0","0","0","0","1","1","4","0","0","1","0","2","4","6","0","0","1","0","0","1","1","0","0","0","1","0","1","0","12","4","8","1","1","0","0","0","1","51","22","4","4","0","1","1","1","7","8","3","1","0","0","0","2","0","5","1","2","2","0","0","0","0","0","0"
"s25","voters","M1007","117","20","85","5","0","0","0","0","0","0","7","58","59","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","6","0","0","0","1","0","0","10","0","2","2","2","5","9","26","0","0","3","4","2","6","24","0","0","0","0","0","1","1","0","0","0","1","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","4","4","7","2","0","0","0","0","0","7","38","10","7","6","3","1","0","3","17","2","2","0","0","0","0","0","0","3","2","1","1","0","1","0","0","0","0"
"s25","voters","M1009","115","19","81","9","0","0","1","0","1","0","4","62","53","2","4","1","0","1","3","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","6","0","1","0","2","0","4","3","0","2","2","2","2","10","25","0","1","1","1","6","6","23","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","1","2","2","3","0","0","0","0","0","1","2","9","3","2","1","1","0","0","0","3","42","12","12","3","1","1","1","0","9","1","2","1","0","0","0","0","0","0","8","3","0","0","0","0","0","0","0"
"s25","voters","M1015","156","44","73","14","1","1","3","0","1","0","19","81","75","2","2","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","10","0","0","1","3","1","8","15","0","1","1","2","1","10","25","0","1","0","0","4","7","21","0","0","0","0","2","2","10","0","0","1","0","2","2","0","0","1","0","0","2","5","3","0","0","0","2","2","2","3","22","6","7","3","2","0","0","0","4","39","11","8","3","1","1","2","0","8","10","1","2","4","1","1","0","0","0","14","3","1","1","1","0","0","0","0"
"s25","voters","M1020","91","9","75","2","0","0","0","0","0","0","5","41","50","0","2","1","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","0","0","4","0","0","2","3","2","7","20","0","0","1","4","2","10","24","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","3","32","9","12","3","4","0","1","0","14","2","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"s25","voters","M1021","56","16","21","7","0","0","0","0","1","0","11","27","29","0","3","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","1","9","0","0","0","1","0","1","7","0","0","1","1","1","3","6","0","0","0","2","1","1","3","0","0","0","1","0","2","1","0","0","0","1","1","0","3","0","0","0","0","0","1","2","5","3","2","0","3","1","0","0","2","11","5","1","0","0","0","1","1","2","5","4","1","0","0","0","0","0","1","5","2","0","0","0","0","0","0","1"
"s25","voters","M1023","148","20","100","10","0","1","3","0","0","0","14","68","80","2","0","2","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","4","0","1","1","2","2","2","7","0","6","2","4","8","6","27","0","1","2","8","6","11","19","0","1","2","0","0","0","2","0","1","1","1","2","1","3","0","0","0","0","2","1","2","0","0","1","1","0","1","6","10","3","0","0","2","1","0","0","4","62","15","6","5","3","1","0","0","8","7","5","0","0","0","0","1","0","1","11","3","0","0","0","0","0","0","0"
"s25","voters","M1024","155","12","121","5","0","1","1","0","0","0","15","75","80","1","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","6","0","0","1","0","0","0","3","1","4","6","4","5","11","24","0","3","10","6","8","12","27","0","0","1","1","0","1","4","0","0","1","2","2","1","2","0","0","0","0","0","1","4","0","0","0","0","0","1","1","3","1","0","1","2","0","0","0","5","66","21","11","5","1","0","0","0","17","6","4","1","1","1","0","0","0","2","2","2","1","1","0","0","0","0","1"
"s25","voters","M1032","106","18","63","8","0","0","2","0","1","0","14","51","55","5","1","2","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","5","0","0","1","0","0","2","9","1","1","2","3","4","7","12","0","0","2","4","7","9","11","0","2","1","0","1","2","3","0","0","0","1","1","0","3","0","1","0","0","3","1","1","1","0","1","0","0","1","2","12","2","1","1","1","0","0","0","1","39","8","8","2","0","0","2","1","3","9","1","2","1","1","0","0","0","0","6","2","2","1","0","0","0","0","0"
"s25","voters","M1117","83","23","44","9","0","0","0","0","0","0","7","37","46","5","7","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","1","2","8","0","2","0","0","2","3","3","0","0","0","1","1","4","12","0","0","0","2","1","7","16","0","0","0","1","1","0","0","0","1","0","1","0","0","3","0","0","1","0","0","1","2","0","0","0","0","2","2","1","16","1","2","0","0","0","0","1","3","15","1","6","0","2","3","1","2","14","2","1","2","0","0","0","0","0","2","5","1","0","0","1","0","0","0","2"
