"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"48","17005","11","8","3","1","2135","0","0","0","0","0","0","0","0","0","903","0","0","0","0","0","0","0","0","0","0","0","211","692"
"48","17040","11","8","3","1","2779","0","0","0","0","0","0","0","0","0","1175","0","0","0","0","0","0","0","0","0","0","0","311","860"
"48","17050","11","8","3","1","3347","0","0","0","0","0","0","0","0","0","1340","0","0","0","0","0","0","0","0","0","0","0","222","1115"
"48","17070","11","8","3","1","3308","0","0","0","0","0","0","0","0","0","1494","0","0","0","0","0","0","0","0","0","0","0","265","1223"
"48","17100","11","8","3","1","3472","0","0","0","0","0","0","0","0","0","1449","0","0","0","0","0","0","0","0","0","0","0","263","1183"
"48","17110","11","8","3","1","1919","0","0","0","0","0","0","0","0","0","951","0","0","0","0","0","0","0","0","0","0","0","215","731"
"48","17115","11","8","3","1","1799","0","0","0","0","0","0","0","0","0","843","0","0","0","0","0","0","0","0","0","0","0","206","636"
"48","17140","11","8","3","1","3138","0","0","0","0","0","0","0","0","0","1549","0","0","0","0","0","0","0","0","0","0","0","266","1281"
"48","17180","11","8","3","1","873","0","0","0","0","0","0","0","0","0","366","0","0","0","0","0","0","0","0","0","0","0","73","291"
"48","17185","11","8","3","1","2777","0","0","0","0","0","0","0","0","0","1272","0","0","0","0","0","0","0","0","0","0","0","236","1031"
"48","17220","11","8","3","1","3716","0","0","0","0","0","0","0","0","0","2097","0","0","0","0","0","0","0","0","0","0","0","505","1588"
"48","17270","11","8","3","1","1784","0","0","0","0","0","0","0","0","0","788","0","0","0","0","0","0","0","0","0","0","0","199","586"
"48","17280","11","8","3","1","1901","0","0","0","0","0","0","0","0","0","990","0","0","0","0","0","0","0","0","0","0","0","284","704"
"48","17288","11","8","3","1","3696","0","0","0","0","0","0","0","0","0","1867","0","0","0","0","0","0","0","0","0","0","0","496","1366"
"48","17300","11","8","3","1","3506","0","0","0","0","0","0","0","0","0","1716","0","0","0","0","0","0","0","0","0","0","0","415","1298"
"48","17310","11","8","3","1","1958","0","0","0","0","0","0","0","0","0","851","0","0","0","0","0","0","0","0","0","0","0","135","715"
"48","17330","11","8","3","1","1080","0","0","0","0","0","0","0","0","0","532","0","0","0","0","0","0","0","0","0","0","0","155","376"
"48","17340","11","8","3","1","2046","0","0","0","0","0","0","0","0","0","900","0","0","0","0","0","0","0","0","0","0","0","230","668"
"48","17350","11","8","3","1","3478","0","0","0","0","0","0","0","0","0","1772","0","0","0","0","0","0","0","0","0","0","0","445","1323"
"48","17380","11","8","3","1","2292","0","0","0","0","0","0","0","0","0","1369","0","0","0","0","0","0","0","0","0","0","0","419","948"
"48","19400","11","8","3","1","57","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","7","10"
"48","19805","11","8","3","1","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"48","21010","11","8","3","1","2641","0","0","0","0","0","0","0","0","0","1663","0","0","0","0","0","0","0","0","0","0","0","500","1162"
"48","21020","11","8","3","1","1977","0","0","0","0","0","0","0","0","0","1234","0","0","0","0","0","0","0","0","0","0","0","392","841"
"48","21045","11","8","3","1","3573","0","0","0","0","0","0","0","0","0","2365","0","0","0","0","0","0","0","0","0","0","0","669","1694"
"48","21060","11","8","3","1","1777","0","0","0","0","0","0","0","0","0","1211","0","0","0","0","0","0","0","0","0","0","0","354","856"
"48","21090","11","8","3","1","2771","0","0","0","0","0","0","0","0","0","1640","0","0","0","0","0","0","0","0","0","0","0","459","1180"
"48","21095","11","8","3","1","2035","0","0","0","0","0","0","0","0","0","1343","0","0","0","0","0","0","0","0","0","0","0","415","925"
"48","21130","11","8","3","1","4158","0","0","0","0","0","0","0","0","0","2727","0","0","0","0","0","0","0","0","0","0","0","925","1795"
"48","21135","11","8","3","1","1711","0","0","0","0","0","0","0","0","0","1176","0","0","0","0","0","0","0","0","0","0","0","402","774"
"48","23005","11","8","3","1","2585","0","0","0","0","0","0","0","0","0","1461","0","0","0","0","0","0","0","0","0","0","0","539","921"
"48","23017","11","8","3","1","2935","0","0","0","0","0","0","0","0","0","1542","0","0","0","0","0","0","0","0","0","0","0","591","950"
"48","23020","11","8","3","1","2133","0","0","0","0","0","0","0","0","0","1080","0","0","0","0","0","0","0","0","0","0","0","346","734"
"48","23047","11","8","3","1","2751","0","0","0","0","0","0","0","0","0","1339","0","0","0","0","0","0","0","0","0","0","0","406","932"
"48","23050","11","8","3","1","1032","0","0","0","0","0","0","0","0","0","485","0","0","0","0","0","0","0","0","0","0","0","106","378"
"48","23090","11","8","3","1","2404","0","0","0","0","0","0","0","0","0","1086","0","0","0","0","0","0","0","0","0","0","0","359","727"
"48","27020","11","8","3","1","1105","0","0","0","0","0","0","0","0","0","524","0","0","0","0","0","0","0","0","0","0","0","99","423"
"48","27050","11","8","3","1","3438","0","0","0","0","0","0","0","0","0","1460","0","0","0","0","0","0","0","0","0","0","0","289","1168"
"48","27070","11","8","3","1","773","0","0","0","0","0","0","0","0","0","339","0","0","0","0","0","0","0","0","0","0","0","58","281"
"48","27075","11","8","3","1","710","0","0","0","0","0","0","0","0","0","306","0","0","0","0","0","0","0","0","0","0","0","68","238"
"48","27080","11","8","3","1","2199","0","0","0","0","0","0","0","0","0","879","0","0","0","0","0","0","0","0","0","0","0","140","739"
"48","27100","11","8","3","1","950","0","0","0","0","0","0","0","0","0","530","0","0","0","0","0","0","0","0","0","0","0","115","413"
"48","27110","11","8","3","1","2298","0","0","0","0","0","0","0","0","0","1368","0","0","0","0","0","0","0","0","0","0","0","310","1058"
"48","27115","11","8","3","1","2450","0","0","0","0","0","0","0","0","0","1373","0","0","0","0","0","0","0","0","0","0","0","356","1013"
"48","27130","11","8","3","1","3375","0","0","0","0","0","0","0","0","0","1865","0","0","0","0","0","0","0","0","0","0","0","541","1321"
"48","27175","11","8","3","1","1474","0","0","0","0","0","0","0","0","0","750","0","0","0","0","0","0","0","0","0","0","0","178","570"
"48","27185","11","8","3","1","1297","0","0","0","0","0","0","0","0","0","550","0","0","0","0","0","0","0","0","0","0","0","186","364"
"48","27190","11","8","3","1","1139","0","0","0","0","0","0","0","0","0","608","0","0","0","0","0","0","0","0","0","0","0","157","451"
"48","29005","11","8","3","1","11","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","***","***"
"48","29080","11","8","3","1","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","***","***"
"48","29100","11","8","3","1","22","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","12","4"
"48","29160","11","8","3","1","18","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","8","5"
"48","29187","11","8","3","1","505","0","0","0","0","0","0","0","0","0","260","0","0","0","0","0","0","0","0","0","0","0","71","189"
"48","29410","11","8","3","1","818","0","0","0","0","0","0","0","0","0","561","0","0","0","0","0","0","0","0","0","0","0","324","236"
"48","29412","11","8","3","1","716","0","0","0","0","0","0","0","0","0","509","0","0","0","0","0","0","0","0","0","0","0","258","249"
"48","29510","11","8","3","1","133","0","0","0","0","0","0","0","0","0","74","0","0","0","0","0","0","0","0","0","0","0","33","41"
"48","29515","11","8","3","1","28","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","12","5"
"48","29810","11","8","3","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","***","***"
"48","29820","11","8","3","1","590","0","0","0","0","0","0","0","0","0","271","0","0","0","0","0","0","0","0","0","0","0","80","191"
"48","29830","11","8","3","1","97","0","0","0","0","0","0","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","8","42"
"48","29840","11","8","3","1","477","0","0","0","0","0","0","0","0","0","149","0","0","0","0","0","0","0","0","0","0","0","31","118"
"48","33005","11","8","3","1","2473","0","0","0","0","0","0","0","0","0","1357","0","0","0","0","0","0","0","0","0","0","0","531","824"
"48","33030","11","8","3","1","2934","0","0","0","0","0","0","0","0","0","1751","0","0","0","0","0","0","0","0","0","0","0","693","1056"
"48","33042","11","8","3","1","1818","0","0","0","0","0","0","0","0","0","1018","0","0","0","0","0","0","0","0","0","0","0","369","647"
