"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","17005","893","574","126","19","1","5","6","0","3","0","159","376","517","198","35","66","8","7","0","2","1","0","0","1","0","1","1","1","0","6","0","1","0","9","0","2","0","3","2","0","0","40","12","15","5","5","22","22","24","30","40","73","2","45","45","52","38","70","106","1","2","5","6","9","16","26","0","2","9","5","7","13","25","2","10","8","13","13","15","17","2","10","17","14","6","8","24","0","0","3","1","2","2","9","1","1","3","2","1","6","3","303","89","67","21","15","5","13","4","57","68","17","19","5","0","0","2","0","15","89","18","11","13","11","1","4","1","11","19","5","6","1","1","0","0","0","2"
"s25","voters","17040","1174","725","209","28","9","5","5","0","7","0","186","501","673","247","70","55","10","10","6","0","0","1","0","0","0","2","2","2","0","9","0","1","0","4","3","0","0","4","1","1","0","130","48","47","10","1","16","33","21","32","55","108","4","31","58","45","53","83","185","1","3","7","19","14","26","47","0","2","3","9","10","18","50","0","6","13","22","12","10","25","3","14","6","14","10","21","30","1","1","4","7","3","7","7","1","4","2","7","2","3","5","387","135","82","25","12","2","11","5","66","113","34","28","6","2","1","0","2","23","101","18","17","15","6","0","4","2","23","31","17","5","0","0","0","0","0","1"
"s25","voters","17050","1327","906","137","33","9","3","4","0","12","0","223","548","779","259","47","79","19","12","1","4","1","0","0","0","0","0","0","0","0","7","0","0","1","11","0","2","0","1","2","4","1","41","20","16","4","2","25","41","40","52","64","130","5","48","70","58","86","95","190","0","2","2","4","11","23","30","0","2","4","10","6","16","27","2","12","16","16","16","11","20","2","21","29","17","20","20","21","0","6","2","6","4","4","7","0","6","5","6","6","8","1","494","135","118","18","28","3","15","5","90","81","16","14","4","4","0","2","0","16","138","19","22","18","6","5","4","1","10","42","12","3","2","1","0","0","0","1"
"s25","voters","17070","1476","1021","155","36","10","8","14","0","3","1","228","603","873","232","41","69","10","11","8","3","1","0","0","0","0","1","0","0","0","7","4","3","1","22","1","3","1","1","3","1","0","51","18","20","3","4","20","49","36","49","75","156","2","64","73","69","82","109","233","0","3","5","7","12","15","35","1","1","3","11","8","15","39","4","14","14","22","10","20","24","5","16","22","18","18","18","23","0","5","2","2","3","9","8","0","8","11","5","8","5","6","564","144","125","27","21","4","10","9","117","81","22","24","2","3","2","0","1","20","136","29","21","14","8","2","7","3","8","45","14","8","0","2","1","0","0","2"
"s25","voters","17100","1449","997","176","40","4","5","5","0","5","0","217","573","876","195","40","41","10","12","0","5","1","0","1","3","0","5","2","0","0","7","0","2","0","12","1","4","1","4","1","2","0","39","26","20","4","2","23","33","28","42","77","141","6","49","58","86","67","115","270","0","1","5","13","9","25","41","0","0","3","8","19","15","37","0","13","13","10","20","27","21","1","13","12","15","17","16","39","1","6","2","3","6","8","3","0","6","3","5","4","6","6","558","165","112","35","34","9","8","5","71","115","19","20","3","3","1","1","2","12","118","33","24","15","5","1","2","0","19","41","4","9","1","2","0","0","0","2"
"s25","voters","17110","927","624","135","32","3","4","7","0","6","0","116","391","536","111","20","27","9","12","4","2","1","0","0","0","0","0","0","0","0","4","2","0","0","2","0","1","0","5","0","0","0","34","12","10","2","2","12","18","25","30","45","103","0","12","44","36","51","80","166","0","2","4","8","8","9","41","0","4","4","10","5","9","31","3","6","12","6","7","4","23","1","4","6","3","8","11","22","0","1","2","6","2","4","8","1","2","1","5","1","7","12","350","102","66","18","20","7","9","2","50","81","27","14","5","3","0","1","1","3","80","13","3","1","2","4","2","2","9","33","2","9","3","1","2","0","0","2"
"s25","voters","17115","850","543","133","22","4","3","6","0","2","0","137","340","510","113","25","39","7","12","4","3","0","1","0","1","0","3","0","0","0","1","0","1","0","4","1","2","0","0","0","0","0","30","10","12","1","4","10","14","24","24","49","76","2","30","26","47","47","66","124","0","5","3","7","10","16","25","0","1","4","6","10","19","27","0","7","5","8","5","14","14","3","11","15","15","6","12","22","0","3","1","4","4","3","5","0","1","2","4","1","2","7","315","83","60","18","13","4","8","2","40","75","14","23","5","1","1","1","0","13","68","26","16","6","4","2","1","3","11","28","4","2","0","0","0","0","0","3"
"s25","voters","17140","1542","1051","174","58","15","4","13","0","6","0","221","675","867","153","38","36","14","31","3","9","1","2","0","1","0","3","0","0","0","9","4","1","0","6","2","7","2","4","1","0","0","40","16","11","3","1","19","50","73","50","88","143","2","30","65","95","98","125","212","0","4","4","16","15","25","35","1","5","3","13","8","19","26","1","8","19","20","16","22","24","2","15","22","18","18","19","17","1","3","6","6","7","10","9","0","4","8","10","8","15","9","624","187","107","22","28","3","12","8","60","111","20","22","7","2","0","2","0","10","133","32","16","15","3","0","4","5","13","63","14","8","1","4","0","2","0","4"
"s25","voters","17180","372","244","51","13","0","0","1","0","0","0","63","158","214","72","12","20","2","8","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","2","0","1","0","0","0","5","6","5","0","1","2","10","16","7","25","26","3","10","21","23","18","30","52","0","2","5","8","6","5","10","0","0","3","1","2","6","3","0","3","3","2","8","9","4","1","8","5","3","6","5","6","1","0","0","1","2","1","1","2","0","0","1","0","3","2","137","43","37","6","2","2","3","2","12","26","5","8","0","2","0","0","0","10","40","6","5","2","5","0","4","0","1","8","2","2","0","1","0","1","0","0"
"s25","voters","17185","1274","861","152","35","11","5","14","0","7","0","189","560","714","124","21","42","9","27","2","6","3","0","0","0","0","2","0","0","0","0","3","2","0","5","0","1","0","0","2","0","0","8","4","4","1","2","20","29","51","48","91","112","1","30","53","72","58","96","198","1","3","4","8","9","15","37","0","4","4","5","7","16","39","2","9","11","19","15","19","26","1","7","20","16","12","12","20","0","2","3","3","8","5","8","0","6","5","8","6","11","7","519","139","74","31","26","6","7","6","53","91","21","11","11","6","1","1","1","9","119","18","26","9","6","0","0","2","9","46","11","8","1","3","2","0","0","1"
