"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","101001","714","345","232","36","3","9","9","0","0","0","80","302","412","215","54","41","12","1","4","0","2","0","0","1","0","1","0","0","0","0","0","0","0","5","3","0","2","0","0","0","0","2","4","0","0","0","13","14","11","18","29","43","4","24","31","22","27","39","70","2","7","6","11","22","21","44","0","2","12","9","20","27","49","0","4","5","9","2","8","9","1","9","13","10","2","6","2","0","1","4","5","5","4","5","0","2","5","6","6","4","10","182","61","39","14","8","3","4","4","30","147","39","21","4","4","3","1","3","10","47","11","13","4","0","1","1","1","2","35","9","5","1","3","1","1","0","2"
"s25","voters","101002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","101003","408","187","151","10","5","4","1","0","3","0","47","188","220","118","23","16","10","2","1","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","6","0","1","0","0","12","8","10","10","16","23","2","14","11","12","16","19","34","0","4","5","13","8","20","26","0","1","2","9","6","26","31","1","2","4","2","5","5","7","1","2","2","5","4","0","7","0","1","1","1","4","0","0","0","5","1","2","5","2","1","105","28","24","6","5","2","5","1","11","86","21","19","6","2","4","0","0","13","26","3","3","6","2","0","1","1","5","13","4","1","1","0","0","1","1","2"
"s25","voters","102001","938","554","192","20","6","16","9","0","6","0","135","380","558","414","69","107","32","2","2","0","0","0","0","0","0","1","0","0","0","1","0","1","0","2","1","1","0","0","0","0","0","7","2","0","3","3","27","30","26","22","35","76","10","57","51","47","30","50","90","1","6","16","12","13","14","31","1","8","13","12","14","22","29","1","15","10","11","3","6","6","1","23","20","9","14","7","9","0","5","4","1","1","2","3","1","7","7","7","2","12","5","315","83","65","20","20","8","5","5","33","126","17","30","1","1","3","5","0","9","87","16","13","9","5","1","2","0","2","40","8","7","0","2","0","0","0","0"
"s25","voters","102002","449","148","219","20","0","5","4","0","0","0","53","196","253","90","31","25","9","1","8","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","1","6","0","1","0","8","5","7","3","8","13","1","17","17","14","11","19","25","0","6","8","12","18","23","42","1","9","6","16","14","24","40","1","1","3","7","8","2","7","1","7","3","7","2","1","3","1","1","3","1","1","3","4","0","2","1","4","3","0","5","78","16","22","6","8","1","3","0","14","115","32","34","11","7","3","2","1","14","37","9","4","0","1","0","0","0","2","19","6","3","1","0","0","0","0","0"
"s25","voters","102003","664","387","120","12","5","13","6","0","3","0","118","279","385","343","58","100","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","5","1","2","0","1","26","25","16","18","19","44","5","58","48","28","23","29","47","0","9","7","8","8","13","17","0","4","7","6","5","18","18","1","15","10","7","4","5","7","2","17","21","10","7","8","4","0","2","3","6","1","4","3","1","8","3","0","0","4","4","223","62","44","17","6","2","2","6","25","72","12","6","4","7","3","2","0","14","78","18","10","8","0","1","0","1","2","28","4","6","0","1","0","0","0","0"
"s25","voters","102007","951","509","258","24","6","11","6","0","1","1","135","433","518","321","73","84","24","4","6","0","0","0","0","0","0","0","0","0","0","5","0","5","0","2","1","2","0","3","0","2","0","5","0","0","0","1","24","36","17","21","42","70","8","47","28","41","44","45","85","1","10","7","17","15","39","41","0","5","11","13","23","31","45","1","13","16","6","5","10","16","2","13","13","12","7","6","15","0","4","1","3","9","6","2","3","3","2","2","3","3","8","287","88","41","17","22","6","6","6","36","146","23","31","8","9","6","11","1","23","82","17","13","7","6","3","1","1","5","34","3","5","1","1","0","3","0","2"
"s25","voters","102012","453","84","300","20","0","1","7","0","0","0","41","217","236","28","27","11","3","0","13","0","0","0","0","0","0","0","2","0","0","1","0","1","1","0","1","3","1","0","0","0","0","2","24","0","1","1","3","2","0","4","3","19","0","6","5","5","5","6","25","0","13","6","16","18","30","62","0","8","11","21","24","29","62","1","4","1","6","3","3","5","0","6","2","1","5","2","2","0","2","3","5","3","2","2","0","1","0","3","2","3","2","50","11","10","3","2","0","0","0","8","156","44","40","12","5","3","3","3","34","27","4","4","2","2","0","0","0","2","17","4","4","1","1","0","0","0","1"
"s25","voters","103001","928","478","269","35","1","14","4","0","3","0","124","423","505","334","70","65","29","7","3","1","2","0","0","0","0","1","0","0","0","0","1","0","0","19","5","7","1","0","0","0","0","0","2","5","0","0","15","31","23","23","40","67","4","31","40","38","41","50","75","1","7","10","16","21","33","56","0","8","12","16","20","23","46","1","11","9","6","10","4","11","1","18","10","8","11","13","11","0","4","4","3","5","6","6","1","4","8","4","1","7","4","260","68","57","22","22","2","11","5","31","156","32","36","8","12","4","3","3","15","79","21","12","6","1","1","1","1","2","36","14","2","2","1","0","0","0","2"
"s25","voters","103002","1472","683","506","64","2","15","11","0","7","0","184","641","831","404","114","100","46","8","16","1","0","0","0","0","0","0","0","1","0","1","1","0","0","8","4","1","0","0","1","0","0","11","8","4","0","2","32","30","33","31","43","80","2","67","67","54","59","53","130","2","8","22","39","36","60","89","3","11","19","34","43","43","97","6","15","19","19","10","8","14","3","11","18","19","13","13","16","0","5","9","11","6","7","5","1","10","12","12","6","8","7","373","126","78","35","17","4","3","14","33","316","58","52","15","17","10","6","1","31","112","22","19","12","8","1","1","0","9","71","14","12","1","0","0","0","0","1"
