"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0000001","1014","191","680","32","0","25","9","0","0","0","77","479","535","73","45","9","9","6","19","1","1","1","3","1","0","2","1","0","0","1","1","0","0","19","23","10","5","0","0","0","0","0","0","0","0","0","5","6","6","9","17","20","5","13","9","12","14","26","49","2","17","23","49","53","63","122","3","16","26","49","36","85","136","1","3","3","10","8","9","11","0","6","3","7","5","3","8","0","2","5","9","8","6","12","0","2","1","4","5","6","6","96","29","24","7","2","4","1","1","27","332","101","86","22","19","6","9","4","101","44","5","1","9","3","2","3","2","8","38","14","11","1","1","1","0","0","0"
"s25","voters","0000002","2331","930","908","71","11","93","20","0","12","0","286","1052","1279","468","136","104","54","14","26","2","2","0","0","0","0","3","1","1","0","4","2","2","0","106","41","47","25","0","1","0","0","9","5","3","2","2","30","54","37","52","68","125","7","83","90","85","70","83","144","5","28","55","67","59","101","127","2","26","54","62","76","93","153","3","14","20","31","21","22","28","5","24","22","29","22","20","25","0","15","18","18","21","12","19","2","14","16","17","21","15","19","504","149","109","34","32","7","13","9","73","530","139","121","24","22","6","6","7","53","173","24","24","20","13","5","5","3","19","94","63","37","1","1","2","3","2","4"
"s25","voters","0000003","2078","687","949","87","8","97","20","0","3","0","227","911","1167","174","98","40","38","18","27","4","0","1","0","0","0","6","3","1","0","0","2","3","2","72","31","30","18","0","3","0","1","8","6","3","1","4","19","25","33","45","41","92","4","43","48","52","56","70","155","3","30","29","52","56","98","179","3","21","38","57","65","106","212","2","11","13","15","20","15","23","2","16","11","21","21","25","32","0","5","10","22","17","20","32","1","13","22","24","15","14","20","378","117","82","23","19","1","9","3","55","530","171","108","21","22","9","12","6","70","146","13","21","15","13","2","1","2","14","102","63","33","8","4","0","2","0","3"
"s25","voters","0000004","917","295","420","31","3","36","10","0","3","0","119","407","510","114","54","30","21","5","9","3","1","0","0","0","0","2","1","2","0","1","4","0","0","12","7","11","4","0","0","0","0","3","3","1","0","1","6","14","12","10","18","43","2","20","26","24","21","36","62","1","9","15","35","30","40","74","1","12","17","23","31","46","86","2","6","6","7","9","12","13","1","8","8","19","8","5","15","1","1","5","10","9","6","12","3","5","2","17","5","3","4","168","50","35","6","3","3","2","2","26","229","56","63","13","11","3","8","4","33","80","10","6","8","7","1","1","1","5","41","25","14","1","0","1","1","0","0"
"s25","voters","0000005","967","396","353","31","3","45","5","0","4","0","130","428","539","211","58","64","35","10","11","2","1","0","0","1","1","2","0","1","0","1","0","0","0","4","6","5","4","1","2","0","0","0","2","0","1","4","14","21","11","25","31","47","6","43","32","29","24","30","79","0","15","23","29","24","30","62","0","9","17","28","25","29","62","3","12","10","8","6","9","11","3","11","17","9","11","5","15","0","6","3","8","6","1","9","1","8","7","10","12","9","8","225","71","38","15","11","1","5","5","25","217","40","30","12","18","1","8","0","27","88","11","5","8","8","1","0","3","6","38","22","22","2","2","0","0","0","2"
"s25","voters","0000006","1070","379","462","62","5","41","10","0","4","0","107","445","625","140","50","30","31","3","10","5","2","2","0","1","0","1","1","0","0","5","0","0","0","3","1","1","0","2","0","0","0","3","1","0","3","3","14","22","18","17","11","57","3","29","33","17","26","37","92","0","5","18","23","26","47","79","1","12","16","25","22","48","140","0","7","7","17","6","7","7","0","7","14","12","4","8","11","0","3","11","12","8","7","13","1","7","12","8","8","12","20","215","79","39","10","8","1","6","2","19","274","55","55","13","11","1","4","7","42","82","6","6","5","5","0","0","0","3","72","29","19","1","0","1","0","0","0"
"s25","voters","0000007","961","327","438","45","2","30","14","0","6","0","99","426","535","117","53","27","18","10","13","1","3","0","0","0","0","3","0","0","1","2","3","1","0","5","3","4","0","0","0","0","0","5","1","2","0","1","13","9","14","20","19","40","2","34","25","23","31","33","63","0","6","18","29","26","36","91","1","13","22","23","25","45","103","2","7","11","5","9","9","10","1","6","7","5","8","7","12","1","7","9","16","8","2","8","0","5","5","9","7","8","12","193","63","33","8","6","4","1","1","18","230","50","70","21","11","3","2","4","47","65","6","6","11","4","1","0","2","4","45","20","23","3","2","2","0","1","1"
"s25","voters","0000008","1090","264","655","39","1","28","11","0","0","0","92","525","565","60","40","9","8","3","21","0","1","5","3","0","0","1","5","0","0","2","3","0","1","51","21","18","11","1","2","1","0","2","5","0","1","2","12","8","14","19","14","53","1","9","12","25","19","25","51","4","12","24","38","47","71","127","2","14","25","43","51","71","126","2","3","2","6","11","9","12","1","6","7","6","7","9","11","1","3","1","8","5","6","11","0","2","8","7","12","9","6","150","38","38","7","6","1","1","2","21","354","94","72","18","17","4","4","4","88","63","2","6","8","3","0","1","1","8","42","18","12","3","4","0","0","0","0"
"s25","voters","0000009","1346","409","699","49","6","53","10","0","1","0","119","628","718","65","52","17","16","9","21","4","6","2","2","1","2","4","0","0","0","5","3","0","1","111","59","36","17","0","0","0","0","7","3","1","0","1","12","22","13","17","37","66","2","25","26","34","31","42","81","1","15","35","52","64","85","96","2","22","28","48","55","76","120","0","14","5","8","8","8","9","3","8","13","10","9","14","10","0","10","6","9","8","10","17","2","4","6","10","6","18","13","207","66","50","20","11","3","4","10","38","365","103","96","23","17","5","6","12","72","80","9","5","7","9","1","2","2","4","51","37","19","3","4","1","3","1","0"
"s25","voters","0000010","1312","312","735","69","1","49","15","0","2","0","129","605","707","51","54","17","14","10","27","4","5","0","3","1","0","2","6","1","2","5","3","1","1","19","15","11","5","0","0","0","0","3","3","0","0","0","7","13","13","13","24","55","0","12","26","24","20","31","74","1","18","31","41","45","68","140","1","17","19","38","54","88","174","0","6","17","12","10","4","25","0","3","7","14","4","11","16","0","5","12","7","6","16","16","1","11","8","8","9","17","20","174","43","31","19","12","1","2","5","25","376","119","90","31","11","4","8","14","82","83","3","5","14","7","0","1","1","15","68","42","18","2","1","1","1","0","3"
