"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"52","0010030","3","1","1","1","3692","0","0","0","0","0","0","0","0","0","2278","0","0","0","0","0","0","0","0","0","0","0","1866","408"
"52","0010130","3","1","1","1","1831","0","0","0","0","0","0","0","0","0","1216","0","0","0","0","0","0","0","0","0","0","0","926","290"
"52","0012060","3","1","1","1","3293","0","0","0","0","0","0","0","0","0","1651","0","0","0","0","0","0","0","0","0","0","0","1046","603"
"52","0020140","3","1","1","1","2526","0","0","0","0","0","0","0","0","0","1641","0","0","0","0","0","0","0","0","0","0","0","1359","281"
"52","0020160","3","1","1","1","851","0","0","0","0","0","0","0","0","0","484","0","0","0","0","0","0","0","0","0","0","0","383","100"
"52","0022190","3","1","1","1","3941","0","0","0","0","0","0","0","0","0","1698","0","0","0","0","0","0","0","0","0","0","0","1153","545"
"52","0030010","3","1","1","1","3191","0","0","0","0","0","0","0","0","0","1862","0","0","0","0","0","0","0","0","0","0","0","1382","476"
"52","0030260","3","1","1","1","4056","0","0","0","0","0","0","0","0","0","2393","0","0","0","0","0","0","0","0","0","0","0","1775","616"
"52","0030320","3","1","1","1","203","0","0","0","0","0","0","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","82","45"
"52","0030330","3","1","1","1","111","0","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","52","31"
"52","0030340","3","1","1","1","207","0","0","0","0","0","0","0","0","0","114","0","0","0","0","0","0","0","0","0","0","0","94","20"
"52","0032350","3","1","1","1","712","0","0","0","0","0","0","0","0","0","295","0","0","0","0","0","0","0","0","0","0","0","182","113"
"52","0040180","3","1","1","1","154","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","0","0","0","0","0","0","80","30"
"52","0040360","3","1","1","1","1284","0","0","0","0","0","0","0","0","0","647","0","0","0","0","0","0","0","0","0","0","0","470","175"
"52","0040365","3","1","1","1","25","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","10","0"
"52","0040420","3","1","1","1","1550","0","0","0","0","0","0","0","0","0","863","0","0","0","0","0","0","0","0","0","0","0","679","184"
"52","0040430","3","1","1","1","159","0","0","0","0","0","0","0","0","0","111","0","0","0","0","0","0","0","0","0","0","0","91","20"
"52","0040480","3","1","1","1","95","0","0","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","45","12"
"52","0040485","3","1","1","1","805","0","0","0","0","0","0","0","0","0","372","0","0","0","0","0","0","0","0","0","0","0","232","140"
"52","0040620","3","1","1","1","139","0","0","0","0","0","0","0","0","0","86","0","0","0","0","0","0","0","0","0","0","0","78","8"
"52","0041380","3","1","1","1","2113","0","0","0","0","0","0","0","0","0","825","0","0","0","0","0","0","0","0","0","0","0","519","305"
"52","0050370","3","1","1","1","287","0","0","0","0","0","0","0","0","0","176","0","0","0","0","0","0","0","0","0","0","0","133","43"
"52","0050450","3","1","1","1","260","0","0","0","0","0","0","0","0","0","173","0","0","0","0","0","0","0","0","0","0","0","144","29"
"52","0050530","3","1","1","1","3171","0","0","0","0","0","0","0","0","0","1686","0","0","0","0","0","0","0","0","0","0","0","1223","460"
"52","0050580","3","1","1","1","1476","0","0","0","0","0","0","0","0","0","758","0","0","0","0","0","0","0","0","0","0","0","550","207"
"52","0051510","3","1","1","1","1336","0","0","0","0","0","0","0","0","0","564","0","0","0","0","0","0","0","0","0","0","0","372","191"
"52","0053610","3","1","1","1","255","0","0","0","0","0","0","0","0","0","161","0","0","0","0","0","0","0","0","0","0","0","113","47"
"52","CNTYTOT","81","27","27","27","37723","0","0","0","0","0","0","0","0","0","20441","0","0","0","0","0","0","0","0","0","0","0","15039","5379"
