"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","0010030","2263","344","1523","135","4","14","31","0","4","0","208","1089","1174","33","68","17","13","10","50","5","4","1","0","2","0","0","0","0","1","3","0","0","0","0","10","0","0","0","0","0","0","2","3","0","0","1","2","6","7","8","24","69","0","11","16","18","23","46","113","5","35","58","84","108","178","301","5","30","53","92","105","167","302","3","5","15","17","14","19","35","1","8","7","24","20","19","21","0","3","8","10","21","19","34","0","6","8","5","12","20","42","171","65","51","7","18","2","2","0","28","801","255","190","58","45","27","26","15","106","104","35","28","13","6","5","2","6","9","118","33","11","7","4","4","3","2","6"
"s25","voters","0010130","1206","229","777","53","2","6","10","0","3","0","126","574","632","20","37","7","5","9","31","2","3","0","0","0","0","0","2","0","0","0","1","0","0","0","2","0","0","0","0","0","0","1","9","0","2","0","1","3","3","8","13","50","0","6","6","11","18","26","84","2","13","23","49","56","75","176","0","12","25","46","53","76","171","0","1","1","10","10","17","26","1","2","1","8","13","19","17","0","3","2","4","7","9","12","0","4","1","6","5","8","13","123","43","21","12","7","0","3","0","20","415","127","90","29","23","9","7","6","71","59","14","20","9","3","3","2","0","16","48","8","10","2","2","0","2","0","2"
"s25","voters","0012060","1646","475","823","102","7","7","18","0","3","0","211","724","922","74","36","25","10","12","20","12","6","0","1","0","0","0","0","0","0","0","4","0","1","3","2","2","1","2","1","3","1","2","6","4","0","2","16","17","16","15","23","78","3","19","35","37","20","64","130","2","24","34","38","67","78","137","0","19","32","51","52","87","202","0","14","14","20","12","23","28","1","8","18","24","15","18","16","1","6","5","11","9","9","25","2","6","5","12","6","13","27","280","72","45","14","17","4","1","5","37","494","109","103","25","22","2","6","5","57","124","31","23","6","7","1","7","3","9","94","23","9","2","0","0","3","2","4"
"s25","voters","0020140","1637","258","1117","84","2","8","21","0","1","0","146","793","844","28","56","7","7","2","30","6","1","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","1","0","4","6","5","6","10","63","0","13","7","16","12","13","103","3","28","43","65","73","123","236","2","29","43","58","88","127","199","1","4","7","10","14","11","18","2","5","8","6","9","18","33","1","1","7","3","10","18","23","0","0","7","10","8","10","18","135","37","24","13","7","2","2","1","37","593","195","129","41","42","11","20","10","76","74","23","12","17","5","2","0","1","12","78","10","13","4","3","0","1","1","6"
"s25","voters","0020160","489","104","304","25","3","0","10","0","0","0","43","239","250","23","17","5","3","1","8","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","4","0","1","1","9","4","6","20","1","3","4","5","7","8","35","0","7","10","16","20","38","67","1","11","8","20","17","32","57","0","1","3","3","3","2","6","1","3","7","4","2","5","3","0","3","3","7","4","1","4","0","1","1","0","2","4","8","55","18","4","5","4","0","3","1","14","149","42","43","10","20","2","4","3","31","16","8","5","2","4","2","2","1","3","23","7","3","2","0","0","0","1","2"
"s25","voters","0022190","1694","456","852","95","5","27","22","0","8","0","229","755","939","78","66","24","15","7","17","6","1","0","1","1","0","0","0","0","0","1","1","1","0","2","0","3","0","0","0","1","1","0","3","5","2","2","8","13","24","15","27","66","4","18","30","35","34","55","125","1","21","47","57","79","76","145","3","18","28","52","75","78","172","1","7","11","26","15","14","23","2","9","20","26","20","22","33","0","2","14","10","9","17","25","0","7","10","17","5","16","25","265","82","46","11","8","3","3","1","37","483","149","93","21","22","5","14","11","54","111","52","28","13","8","4","3","4","6","98","34","13","4","1","1","1","2","3"
"s25","voters","0030010","1849","376","1125","114","4","11","19","0","3","0","197","888","961","29","52","14","9","17","29","5","5","1","2","3","0","1","3","0","1","2","3","0","0","0","4","1","0","0","2","1","0","4","2","1","0","1","6","3","16","12","33","82","3","6","15","20","20","34","125","1","34","43","72","73","101","235","1","26","37","65","79","126","232","1","9","7","7","17","18","34","1","5","9","18","22","23","26","0","10","3","8","16","21","25","0","4","5","9","11","14","25","206","80","36","14","12","2","6","5","15","637","190","127","41","31","14","12","9","64","100","33","29","11","6","0","4","4","10","100","24","15","1","2","3","1","1","4"
"s25","voters","0030260","2393","529","1430","145","6","6","22","0","4","0","251","1099","1294","69","65","25","11","21","61","6","9","0","0","0","0","2","1","0","0","4","1","1","3","2","1","1","1","0","0","0","0","3","1","1","1","1","7","13","21","17","37","101","5","14","24","26","20","53","190","3","39","58","79","96","156","266","1","34","55","63","108","162","310","1","4","10","16","16","25","47","1","10","11","21","25","20","44","0","4","10","6","9","20","37","0","5","8","13","7","26","38","302","75","59","17","10","4","6","3","53","773","221","163","58","46","7","19","22","121","128","28","31","19","13","7","4","4","17","110","41","15","6","2","1","0","1","7"
"s25","voters","0030320","124","28","64","6","0","1","2","0","0","0","23","58","66","1","3","0","0","3","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","5","0","2","1","1","1","3","8","0","0","0","1","5","5","17","0","1","2","2","5","4","22","0","0","1","0","4","6","5","0","0","1","1","2","0","3","0","0","0","2","0","0","0","0","0","0","0","1","1","5","16","7","3","0","0","0","0","1","1","27","12","9","2","4","1","0","0","9","12","2","1","5","1","0","0","0","2","6","1","0","1","1","0","0","0","0"
"s25","voters","0030330","80","23","31","9","0","0","1","0","0","0","16","44","36","2","1","1","1","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","7","0","0","0","1","1","2","7","0","0","0","1","1","5","10","0","0","0","1","2","3","8","0","0","0","1","2","3","5","0","0","0","0","0","1","4","0","0","0","0","0","0","4","0","0","1","0","0","2","3","15","2","2","2","0","0","0","0","2","15","4","2","3","2","1","2","0","2","8","4","2","1","0","0","0","0","1","7","1","1","0","1","0","0","0","0"
