"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"55","1001","8","5","4","1","1075","0","0","0","0","0","0","0","0","0","758","0","0","0","0","0","0","0","0","0","0","0","473","285"
"55","1002","8","5","4","1","488","0","0","0","0","0","0","0","0","0","307","0","0","0","0","0","0","0","0","0","0","0","191","116"
"55","1003","8","5","4","1","1268","0","0","0","0","0","0","0","0","0","789","0","0","0","0","0","0","0","0","0","0","0","488","299"
"55","1004","8","5","4","1","1264","0","0","0","0","0","0","0","0","0","832","0","0","0","0","0","0","0","0","0","0","0","450","382"
"55","1105","8","5","4","1","1079","0","0","0","0","0","0","0","0","0","579","0","0","0","0","0","0","0","0","0","0","0","277","301"
"55","1106","8","5","4","1","2082","0","0","0","0","0","0","0","0","0","1204","0","0","0","0","0","0","0","0","0","0","0","605","598"
"55","2001","8","5","4","1","2186","0","0","0","0","0","0","0","0","0","1394","0","0","0","0","0","0","0","0","0","0","0","878","515"
"55","2002","8","5","4","1","1088","0","0","0","0","0","0","0","0","0","651","0","0","0","0","0","0","0","0","0","0","0","372","279"
"55","2003","8","5","4","1","1168","0","0","0","0","0","0","0","0","0","696","0","0","0","0","0","0","0","0","0","0","0","428","267"
"55","2004","8","5","4","1","709","0","0","0","0","0","0","0","0","0","435","0","0","0","0","0","0","0","0","0","0","0","281","154"
"55","2005","8","5","4","1","368","0","0","0","0","0","0","0","0","0","265","0","0","0","0","0","0","0","0","0","0","0","150","114"
"55","2006","8","5","4","1","1356","0","0","0","0","0","0","0","0","0","846","0","0","0","0","0","0","0","0","0","0","0","525","321"
"55","2007","8","5","4","1","302","0","0","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","88","94"
"55","3001","8","5","4","1","206","0","0","0","0","0","0","0","0","0","140","0","0","0","0","0","0","0","0","0","0","0","106","34"
"55","3002","8","5","4","1","1372","0","0","0","0","0","0","0","0","0","864","0","0","0","0","0","0","0","0","0","0","0","545","319"
"55","3003","8","5","4","1","1298","0","0","0","0","0","0","0","0","0","868","0","0","0","0","0","0","0","0","0","0","0","574","294"
"55","3004","8","5","4","1","220","0","0","0","0","0","0","0","0","0","155","0","0","0","0","0","0","0","0","0","0","0","75","80"
"55","3005","8","5","4","1","1167","0","0","0","0","0","0","0","0","0","707","0","0","0","0","0","0","0","0","0","0","0","460","247"
"55","3006","8","5","4","1","466","0","0","0","0","0","0","0","0","0","271","0","0","0","0","0","0","0","0","0","0","0","182","88"
"55","3007","8","5","4","1","996","0","0","0","0","0","0","0","0","0","676","0","0","0","0","0","0","0","0","0","0","0","411","265"
"55","3008","8","5","4","1","859","0","0","0","0","0","0","0","0","0","530","0","0","0","0","0","0","0","0","0","0","0","296","234"
"55","3009","8","5","4","1","556","0","0","0","0","0","0","0","0","0","393","0","0","0","0","0","0","0","0","0","0","0","266","127"
"55","4001","8","5","4","1","1830","0","0","0","0","0","0","0","0","0","1271","0","0","0","0","0","0","0","0","0","0","0","666","605"
"55","4002","8","5","4","1","309","0","0","0","0","0","0","0","0","0","178","0","0","0","0","0","0","0","0","0","0","0","129","49"
"55","4003","8","5","4","1","394","0","0","0","0","0","0","0","0","0","259","0","0","0","0","0","0","0","0","0","0","0","140","119"
"55","4004","8","5","4","1","890","0","0","0","0","0","0","0","0","0","587","0","0","0","0","0","0","0","0","0","0","0","447","140"
"55","4005","8","5","4","1","875","0","0","0","0","0","0","0","0","0","548","0","0","0","0","0","0","0","0","0","0","0","422","124"
"55","4006","8","5","4","1","275","0","0","0","0","0","0","0","0","0","181","0","0","0","0","0","0","0","0","0","0","0","139","42"
"55","4007","8","5","4","1","1058","0","0","0","0","0","0","0","0","0","719","0","0","0","0","0","0","0","0","0","0","0","516","202"
"55","4008","8","5","4","1","1389","0","0","0","0","0","0","0","0","0","846","0","0","0","0","0","0","0","0","0","0","0","550","296"
"55","4009","8","5","4","1","178","0","0","0","0","0","0","0","0","0","84","0","0","0","0","0","0","0","0","0","0","0","45","39"
