"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","1001","750","234","377","43","2","1","8","0","2","0","83","354","396","25","21","7","0","7","27","6","4","0","0","0","0","1","0","0","0","1","2","0","0","3","2","1","0","0","0","0","0","4","1","0","0","0","3","5","6","8","11","63","0","2","3","5","14","25","89","5","14","11","18","30","25","83","1","10","9","24","33","34","80","0","0","7","8","2","5","25","0","1","5","9","2","8","11","0","1","1","4","5","3","11","0","1","2","2","4","3","19","133","40","21","5","4","2","4","6","19","208","58","54","8","13","4","4","7","21","38","14","12","5","4","1","3","1","5","35","10","4","1","2","1","0","2","1"
"s25","voters","1002","304","82","161","17","0","0","4","0","2","0","38","146","158","10","7","3","1","2","7","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","3","4","4","20","2","2","2","6","4","8","25","1","2","3","12","12","7","39","0","1","3","8","7","18","48","0","2","1","1","3","6","12","0","1","1","1","1","5","4","0","1","0","3","2","1","5","0","1","0","2","1","2","5","50","8","11","4","1","0","4","2","2","83","22","21","4","7","3","1","2","18","24","6","2","2","1","0","0","0","3","13","2","3","0","1","0","0","1","3"
"s25","voters","1003","788","237","391","36","2","0","7","0","5","0","110","362","426","24","20","3","5","8","18","1","3","0","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","0","1","5","0","1","0","1","4","8","10","16","43","1","6","11","16","15","20","86","1","10","13","37","23","34","78","0","9","11","37","20","34","84","0","4","7","6","8","7","22","0","6","7","8","9","9","17","0","1","2","5","6","4","12","1","0","4","5","2","4","4","133","41","17","9","7","2","2","2","24","225","46","51","12","8","5","5","4","35","60","20","15","6","2","0","2","1","4","29","11","8","0","1","0","1","0","0"
"s25","voters","1004","826","295","361","46","3","0","7","0","3","0","111","341","485","22","24","11","2","8","17","3","1","0","0","0","0","1","0","1","0","2","2","1","2","1","2","0","0","0","0","1","0","6","6","4","1","1","2","7","6","10","12","68","1","3","13","11","9","13","139","0","5","12","13","14","27","84","1","5","7","8","18","29","138","1","4","7","5","8","7","27","0","2","3","12","4","7","24","0","0","2","3","1","3","12","1","0","4","1","6","4","22","187","42","20","15","5","6","5","4","11","226","52","33","12","8","4","5","2","19","64","14","14","6","4","1","1","0","7","39","12","3","2","1","0","0","1","1"
"s25","voters","1105","576","242","201","25","4","0","11","0","3","0","90","244","332","15","16","5","3","10","9","0","4","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","3","1","1","1","1","4","12","15","16","41","0","7","12","13","17","25","78","1","8","9","8","20","16","36","0","3","6","11","14","20","49","1","6","8","8","6","2","7","0","8","5","10","10","7","12","0","1","1","5","3","5","3","0","0","4","7","4","1","9","146","32","22","10","7","2","0","2","21","112","33","20","11","7","0","3","3","12","55","17","6","3","3","1","0","2","3","18","12","6","1","4","0","1","1","0"
"s25","voters","1106","1197","483","456","63","3","3","17","0","11","1","160","531","666","33","28","7","8","14","15","5","4","0","0","0","0","0","1","0","0","6","0","2","0","1","0","0","1","0","0","0","0","3","4","0","1","0","7","23","24","17","21","87","1","9","25","38","29","49","153","2","14","25","26","29","40","87","0","12","19","23","31","49","99","2","3","14","16","16","15","23","1","7","7","8","16","12","20","0","1","4","6","7","8","14","0","4","7","7","9","13","18","278","82","59","16","10","1","5","3","29","253","76","61","10","7","2","4","6","37","94","27","16","11","3","0","4","1","4","64","12","11","3","1","0","1","4","2"
"s25","voters","2001","1395","407","697","64","1","3","17","0","2","0","204","666","729","34","48","16","5","19","30","8","1","0","0","0","0","1","0","1","0","1","3","1","0","0","1","0","0","0","0","0","0","2","9","1","1","1","6","7","14","14","24","101","0","9","17","16","25","37","136","0","8","30","44","43","84","142","1","14","21","38","44","70","158","1","2","9","18","10","17","46","1","5","10","21","10","20","34","0","2","5","8","1","8","21","0","3","2","8","3","13","13","190","73","57","18","11","6","3","7","42","405","95","67","23","20","5","8","8","66","102","34","17","18","9","1","6","6","11","49","18","10","0","1","2","1","0","6"
"s25","voters","2002","647","225","276","36","2","1","18","0","1","0","88","335","312","28","18","4","5","6","5","4","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","1","3","6","9","8","16","58","0","7","3","10","9","29","66","0","5","5","15","16","39","73","2","3","4","9","15","39","51","0","3","2","7","5","10","20","2","3","3","5","5","7","16","0","5","2","5","7","6","9","0","0","3","6","3","7","5","127","25","26","13","5","2","1","2","24","158","42","24","9","5","1","5","0","32","44","14","8","6","5","0","1","1","9","37","12","4","2","1","2","0","0","0"
"s25","voters","2003","694","213","352","28","2","0","13","0","0","0","86","336","358","14","19","2","2","9","11","2","1","0","0","0","0","1","0","0","1","2","0","0","0","0","1","0","1","0","0","0","0","1","5","0","1","0","1","8","8","9","16","42","0","8","13","12","23","23","50","0","7","13","24","29","41","60","2","4","20","27","21","44","60","0","0","8","7","9","7","18","0","3","5","9","2","9","9","0","1","4","9","5","5","5","0","0","3","2","3","5","1","112","37","21","5","2","2","4","3","27","195","48","53","16","8","3","5","5","19","39","17","12","4","2","0","3","0","9","24","6","6","2","2","0","0","1","2"
"s25","voters","2004","435","128","231","18","2","1","7","0","1","0","47","199","236","18","12","8","5","2","10","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","3","0","0","0","0","4","2","5","6","34","2","0","5","10","4","13","43","0","4","6","12","17","25","45","0","10","10","13","21","34","34","0","2","4","7","2","5","8","1","3","0","7","2","1","5","0","0","4","1","3","0","3","0","2","2","0","1","5","8","72","19","13","3","5","1","0","2","13","121","36","30","10","9","1","4","9","11","22","8","7","5","3","0","1","1","0","18","3","3","1","1","0","0","1","2"
