"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","14001","416","140","192","11","0","0","7","0","1","1","64","205","211","30","14","8","3","2","2","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","3","3","2","4","12","36","4","1","5","7","9","14","38","0","5","5","12","7","22","51","0","2","3","9","10","17","49","0","3","5","7","3","6","8","0","4","6","8","2","3","9","0","0","1","1","3","2","2","0","1","1","1","1","3","4","82","13","17","4","2","1","5","0","16","98","25","22","4","4","3","1","1","34","31","10","13","4","1","2","1","1","1","11","5","1","1","0","1","0","0","1"
"s25","voters","14003","2457","1484","299","58","5","4","15","0","19","0","573","875","1582","500","23","190","24","44","5","9","1","8","0","5","0","12","1","3","0","60","2","38","0","30","3","11","1","31","0","27","0","15","0","12","3","70","157","37","26","30","26","117","253","429","57","34","40","66","142","8","10","14","10","17","33","63","3","7","7","18","14","37","58","40","83","24","13","12","20","30","119","148","25","11","13","15","20","5","5","3","3","3","5","11","8","30","4","7","2","9","6","1242","73","52","22","18","7","6","0","64","181","36","30","9","6","0","3","3","31","487","27","14","11","4","4","1","1","24","82","8","7","1","1","1","0","0","1"
"s25","voters","14004","1370","420","667","69","1","2","14","0","5","0","192","670","700","122","48","36","9","15","27","7","1","1","2","1","0","1","1","1","0","6","6","5","0","3","7","3","1","0","0","0","0","9","6","0","1","1","6","20","11","21","37","77","0","19","17","22","32","51","106","3","11","25","37","48","98","127","2","14","21","36","48","73","124","0","9","13","16","12","21","28","0","6","5","9","11","32","30","0","3","3","6","6","10","21","2","4","3","7","7","9","10","239","63","43","14","15","1","4","4","37","318","105","87","30","21","10","16","3","77","108","26","19","12","10","2","2","4","9","48","23","13","0","1","2","1","2","1"
"s25","voters","14006","65","38","10","4","0","0","0","0","2","0","11","30","35","19","3","7","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","2","0","3","0","0","6","5","2","2","1","5","0","0","0","3","0","1","4","0","0","0","1","0","0","1","0","3","0","0","0","0","0","0","1","3","1","0","3","0","0","0","0","0","1","1","0","0","0","1","0","1","2","0","27","8","1","0","0","0","1","0","1","6","0","1","0","0","0","0","0","3","8","1","1","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
"s25","voters","14007","922","430","256","39","0","1","9","0","1","0","186","440","482","21","2","4","4","22","7","10","1","1","2","0","1","9","3","0","0","22","8","8","1","8","1","3","0","0","3","3","0","4","2","3","0","2","11","13","12","17","27","89","1","18","16","14","33","43","134","0","7","7","7","13","22","74","1","3","4","6","11","23","78","0","2","7","9","14","26","54","0","5","6","7","8","20","28","0","3","0","1","2","7","14","0","1","0","1","6","9","6","245","72","49","10","12","3","1","0","38","133","49","20","4","3","3","2","0","42","105","21","21","9","6","0","4","2","18","32","11","3","0","2","1","1","0","0"
"s25","voters","14008","2845","1017","1239","131","6","9","35","0","10","0","398","1325","1520","451","170","155","48","23","45","5","4","0","1","0","0","4","2","2","1","3","0","1","1","6","0","5","0","0","0","0","0","7","9","3","2","1","27","34","40","47","91","153","5","72","68","68","62","113","236","4","30","47","65","80","150","269","2","25","48","76","60","160","223","3","16","28","34","23","31","62","4","30","33","29","31","27","47","1","4","10","20","15","11","29","0","10","11","11","14","24","31","548","170","111","29","26","11","12","6","104","599","196","175","37","38","2","15","23","154","213","47","50","20","14","8","8","4","34","122","28","26","4","1","0","2","2","6"
"s25","voters","14009","2","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s25","voters","14010","58","11","39","2","0","0","0","0","0","0","6","32","26","5","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","0","1","0","2","0","4","0","0","0","1","5","7","9","0","0","2","1","3","2","9","0","1","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","6","1","1","0","1","0","0","0","2","16","8","3","0","0","0","0","1","11","3","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"s25","voters","14012","5186","3549","496","104","5","5","22","0","34","0","971","2200","2986","436","26","120","19","212","34","36","11","31","3","13","0","50","7","10","3","133","40","79","8","34","13","23","1","28","2","19","1","35","2","11","2","24","208","173","116","167","183","511","66","418","258","193","217","267","748","4","22","22","21","31","46","109","5","12","21","18","25","35","125","13","79","72","45","76","63","136","21","127","59","47","50","72","111","1","12","14","10","9","11","22","1","24","12","4","8","16","26","2251","478","297","83","83","18","32","23","284","261","88","37","8","15","2","8","6","71","634","114","73","36","21","10","16","6","61","114","29","8","5","4","1","1","0","8"
"s25","voters","14013","1963","1374","145","39","8","3","13","0","16","0","365","822","1141","137","7","46","9","105","9","22","2","8","0","4","0","16","1","6","1","45","9","17","4","19","2","4","0","14","0","5","0","9","2","5","1","5","86","56","53","80","71","172","6","201","91","79","107","101","266","0","4","7","9","15","16","28","0","6","4","7","9","7","33","2","34","25","24","25","24","48","4","67","23","20","21","14","34","2","6","4","2","7","7","10","0","11","6","4","6","7","7","830","200","109","42","19","17","10","5","142","76","17","15","5","2","1","3","3","23","254","34","26","13","5","5","4","4","20","51","13","6","0","1","0","2","0","6"
"s25","voters","14014","3674","2563","329","82","8","5","16","0","19","0","652","1559","2115","305","16","63","17","174","10","30","5","12","1","6","1","25","3","6","1","92","12","46","10","33","0","14","3","18","2","6","1","22","2","2","1","8","132","94","115","124","136","392","15","282","147","159","170","200","589","1","4","13","10","23","24","99","0","5","9","9","9","21","102","0","47","29","46","50","54","105","3","69","24","26","49","49","101","0","6","3","11","11","11","11","0","20","8","4","12","16","17","1547","369","230","64","55","16","16","13","253","168","41","33","9","10","2","4","3","59","399","74","55","28","19","8","9","5","55","98","17","10","4","1","0","0","0","0"
"s25","voters","14015","1857","1360","93","30","10","6","17","0","20","0","321","823","1034","128","4","37","8","87","8","14","4","8","0","4","0","7","0","3","1","21","4","10","0","12","0","6","0","8","0","5","0","10","3","11","0","4","90","102","48","65","82","181","6","174","149","46","87","101","225","0","1","5","8","5","8","23","0","7","3","4","1","9","19","2","32","33","23","21","23","34","1","51","26","10","32","17","16","0","2","7","4","3","6","11","0","13","12","5","5","5","10","856","187","114","35","19","5","8","4","132","60","10","8","3","1","0","0","0","11","236","32","22","13","5","1","4","1","7","63","11","4","2","0","0","2","0","1"
"s25","voters","14016","2825","1973","198","53","13","9","15","0","38","0","526","1266","1559","264","9","76","17","98","7","21","6","12","0","4","1","17","1","3","1","66","20","45","3","23","0","11","3","15","1","7","0","18","3","5","1","9","107","133","140","127","118","154","11","231","192","178","167","148","258","0","10","16","12","14","24","33","0","5","12","8","13","17","34","2","46","64","55","53","33","48","1","43","40","38","32","27","44","1","10","8","10","16","10","13","1","10","15","11","7","10","6","1295","260","189","65","32","7","9","9","107","122","29","11","6","3","0","4","2","21","337","61","46","30","9","3","8","6","26","98","12","7","2","3","0","1","0","5"
"s25","voters","14017","5795","3777","592","122","16","7","28","0","42","1","1210","2606","3189","370","40","106","16","209","39","47","8","37","6","26","3","41","6","12","3","158","49","127","5","89","4","44","1","27","5","11","1","42","15","20","4","15","157","188","187","259","277","436","27","255","244","290","388","440","614","2","12","30","27","39","91","115","0","9","16","14","46","71","120","7","61","76","88","144","138","146","8","89","52","77","114","91","119","1","11","7","15","17","27","33","0","15","10","12","22","17","29","2250","551","404","118","76","24","32","20","302","297","80","73","12","18","4","7","6","95","682","178","115","59","36","16","21","8","95","155","30","15","3","1","2","0","2","8"
"s25","voters","14018","241","164","12","8","3","1","0","0","4","0","49","98","143","43","4","17","1","2","0","1","1","1","0","0","0","0","0","1","0","13","0","4","1","2","0","1","0","4","0","1","1","5","0","2","0","0","26","13","8","6","3","7","0","58","24","4","4","7","4","0","2","2","2","0","2","1","0","0","0","2","0","0","1","1","10","2","0","2","2","0","0","21","3","2","4","1","1","0","0","6","0","3","0","0","0","4","1","2","0","0","0","134","16","11","1","1","0","0","0","1","7","3","0","1","0","0","0","0","1","42","4","1","0","1","1","0","0","0","9","5","0","2","0","0","0","0","0"
"s25","voters","14019","4310","2791","492","123","10","6","22","0","25","0","841","1895","2415","326","39","81","22","154","13","32","13","28","6","12","0","44","0","7","1","136","16","81","6","34","2","15","2","26","5","13","1","52","2","14","3","8","120","159","161","164","169","322","13","254","253","220","250","267","431","2","14","18","23","41","67","99","1","12","9","26","31","49","100","5","62","63","63","70","92","98","9","74","52","56","58","65","74","0","6","9","12","18","14","16","0","19","17","20","11","24","20","1633","441","278","86","65","22","22","21","223","284","50","59","17","11","0","3","4","64","496","124","80","32","20","10","11","7","61","117","32","17","7","5","2","1","1","4"
"s25","voters","14020","51","38","6","1","0","0","0","0","1","0","5","25","26","9","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","4","1","2","4","0","2","6","8","4","1","3","0","0","2","0","1","1","1","0","0","0","1","0","0","0","0","0","1","1","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","31","1","6","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","2","0","1","0","1","0","1","0","0","2","0","0","0","0","0","0","0","0"
"s25","voters","14021","3208","1773","635","143","18","11","23","0","22","0","583","1414","1794","720","116","197","64","42","24","15","5","6","0","0","0","4","3","2","0","17","3","15","1","37","10","16","4","14","5","1","0","27","7","9","8","3","55","133","123","105","114","176","8","112","209","184","134","154","263","3","25","32","55","49","53","94","1","13","41","42","55","69","103","2","21","56","60","49","42","63","7","32","60","59","42","36","54","2","11","15","20","14","15","24","0","16","18","15","21","15","31","1123","231","192","49","36","6","10","15","111","351","99","77","20","14","4","12","5","53","346","72","59","39","26","3","6","4","28","153","29","21","2","6","0","1","0","5"
