"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PR_50_N","PR_50_Y"
"58","8101","2","1","1","1","1611","0","0","0","0","0","0","0","0","0","663","0","0","0","0","0","0","0","0","0","0","0","338","325"
"58","8102","2","1","1","1","2977","0","0","0","0","0","0","0","0","0","1338","0","0","0","0","0","0","0","0","0","0","0","688","650"
"58","8103","2","1","1","1","1283","0","0","0","0","0","0","0","0","0","518","0","0","0","0","0","0","0","0","0","0","0","282","234"
"58","8104","2","1","1","1","2398","0","0","0","0","0","0","0","0","0","1007","0","0","0","0","0","0","0","0","0","0","0","546","461"
"58","8201","2","1","1","1","1087","0","0","0","0","0","0","0","0","0","368","0","0","0","0","0","0","0","0","0","0","0","189","179"
"58","8202","2","1","1","1","2277","0","0","0","0","0","0","0","0","0","1081","0","0","0","0","0","0","0","0","0","0","0","665","414"
"58","8203","2","1","1","1","1882","0","0","0","0","0","0","0","0","0","967","0","0","0","0","0","0","0","0","0","0","0","622","344"
"58","8204","2","1","1","1","2229","0","0","0","0","0","0","0","0","0","875","0","0","0","0","0","0","0","0","0","0","0","471","400"
"58","8205","2","1","1","1","606","0","0","0","0","0","0","0","0","0","345","0","0","0","0","0","0","0","0","0","0","0","241","104"
"58","8301","2","1","1","1","1567","0","0","0","0","0","0","0","0","0","566","0","0","0","0","0","0","0","0","0","0","0","315","251"
"58","8302","2","1","1","1","2028","0","0","0","0","0","0","0","0","0","911","0","0","0","0","0","0","0","0","0","0","0","473","436"
"58","8303","2","1","1","1","2476","0","0","0","0","0","0","0","0","0","1128","0","0","0","0","0","0","0","0","0","0","0","645","481"
"58","8304","2","1","1","1","1241","0","0","0","0","0","0","0","0","0","454","0","0","0","0","0","0","0","0","0","0","0","263","191"
"58","8401","2","1","1","1","2756","0","0","0","0","0","0","0","0","0","1523","0","0","0","0","0","0","0","0","0","0","0","796","725"
"58","8402","2","1","1","1","2568","0","0","0","0","0","0","0","0","0","1421","0","0","0","0","0","0","0","0","0","0","0","722","696"
"58","8403","2","1","1","1","2515","0","0","0","0","0","0","0","0","0","1314","0","0","0","0","0","0","0","0","0","0","0","751","561"
"58","8404","2","1","1","1","1980","0","0","0","0","0","0","0","0","0","1073","0","0","0","0","0","0","0","0","0","0","0","658","414"
"58","8405","2","1","1","1","2408","0","0","0","0","0","0","0","0","0","1314","0","0","0","0","0","0","0","0","0","0","0","938","375"
"58","8406","2","1","1","1","306","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0","0","0","0","0","0","0","159","28"
"58","8501","2","3","1","1","1713","0","0","0","0","0","0","0","0","0","1091","0","0","0","0","0","0","0","0","0","0","0","609","481"
"58","8502","2","3","1","1","1266","0","0","0","0","0","0","0","0","0","756","0","0","0","0","0","0","0","0","0","0","0","522","233"
"58","8503","2","1","1","1","744","0","0","0","0","0","0","0","0","0","454","0","0","0","0","0","0","0","0","0","0","0","369","85"
"58","8504","2","3","1","1","1610","0","0","0","0","0","0","0","0","0","1098","0","0","0","0","0","0","0","0","0","0","0","894","204"
"58","8505","2","3","1","1","758","0","0","0","0","0","0","0","0","0","505","0","0","0","0","0","0","0","0","0","0","0","447","58"
"58","8506","2","3","1","1","2194","0","0","0","0","0","0","0","0","0","1484","0","0","0","0","0","0","0","0","0","0","0","1130","351"
"58","8507","2","3","1","1","482","0","0","0","0","0","0","0","0","0","268","0","0","0","0","0","0","0","0","0","0","0","143","125"
"58","8508","2","1","1","1","242","0","0","0","0","0","0","0","0","0","109","0","0","0","0","0","0","0","0","0","0","0","82","27"
"58","9206","2","3","1","1","169","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","88","17"
"58","9509","2","3","1","1","234","0","0","0","0","0","0","0","0","0","149","0","0","0","0","0","0","0","0","0","0","0","96","53"
"58","9510","2","3","1","1","100","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","42","8"
"58","9511","2","3","1","1","254","0","0","0","0","0","0","0","0","0","142","0","0","0","0","0","0","0","0","0","0","0","114","28"
"58","9512","2","1","1","1","219","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","13","23"
"58","CNTYTOT","64","52","32","32","46180","0","0","0","0","0","0","0","0","0","23301","0","0","0","0","0","0","0","0","0","0","0","14311","8962"
