"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"s25","voters","8101","661","246","269","24","3","12","4","0","2","0","101","293","368","110","25","47","11","1","12","1","1","0","0","0","0","0","3","0","0","0","2","3","0","0","0","0","0","0","0","1","0","3","2","0","0","0","9","16","11","9","17","35","4","17","21","16","18","24","49","0","4","10","22","22","26","48","0","1","14","16","24","27","55","0","9","10","9","2","5","9","1","10","16","5","10","8","7","1","1","5","6","2","3","2","1","6","1","5","2","4","6","147","35","23","12","5","1","1","1","21","143","35","34","19","5","0","3","1","29","62","14","9","3","7","1","1","0","4","31","5","3","2","1","1","0","0","2"
"s25","voters","8102","1336","491","517","65","4","9","12","0","9","0","229","605","731","155","81","70","29","6","4","4","3","0","1","0","0","5","4","1","0","2","3","0","2","7","5","10","1","1","1","0","1","21","10","4","0","1","19","20","34","32","30","55","4","32","51","56","38","58","61","2","17","31","53","48","52","57","1","9","34","50","57","29","77","3","14","15","23","26","15","13","4","20","24","29","17","12","14","2","4","6","12","10","7","4","0","4","11","8","16","7","8","291","79","63","13","15","10","1","4","15","303","75","60","19","15","2","3","12","28","120","34","28","15","12","1","6","3","10","64","15","7","5","4","0","1","1","2"
"s25","voters","8103","515","165","224","34","1","7","6","0","0","0","78","237","278","72","28","23","18","0","4","1","1","1","0","1","0","0","0","0","0","3","2","4","3","5","0","0","1","0","0","0","0","1","0","2","1","1","1","11","10","9","18","11","3","16","12","12","24","12","25","1","5","10","16","8","25","46","2","4","10","15","13","33","36","1","3","8","6","5","9","8","3","8","6","9","5","2","5","0","3","2","4","2","7","7","1","4","5","2","3","3","5","90","27","26","4","4","0","1","0","13","123","26","22","9","8","1","4","4","27","40","14","10","3","2","3","2","2","2","30","8","6","1","1","1","0","0","1"
"s25","voters","8104","1001","362","393","56","7","10","13","0","6","0","154","463","538","106","60","34","15","7","7","2","0","1","0","0","0","1","1","0","0","3","2","2","0","4","1","2","0","2","0","0","0","3","4","3","1","2","16","17","13","22","24","46","3","35","29","30","31","33","61","1","8","23","27","41","45","61","0","6","20","30","32","38","61","3","5","11","15","13","14","11","1","14","16","19","7","15","10","0","4","4","13","6","9","9","2","7","6","8","6","9","9","229","55","39","11","10","2","0","0","16","238","59","44","9","10","2","5","4","22","101","24","15","3","6","4","0","1","0","62","11","7","4","7","0","1","0","0"
"s25","voters","8201","366","144","140","12","0","6","6","0","0","0","58","170","196","51","16","23","3","4","3","0","1","0","0","0","0","0","0","0","0","7","1","2","3","2","1","0","0","0","0","0","0","1","0","0","0","0","3","10","7","5","11","18","2","15","9","15","10","18","21","0","3","5","11","9","17","29","0","0","6","9","5","17","29","0","3","7","6","4","7","3","0","3","6","7","5","3","4","0","2","3","1","2","0","4","0","1","2","2","2","1","4","85","22","17","10","2","1","1","0","6","89","21","12","7","3","3","0","0","5","35","6","6","1","3","0","3","0","4","18","2","2","0","1","0","0","0","1"
"s25","voters","8202","1078","328","516","50","3","8","17","0","1","0","155","469","609","107","54","39","21","10","9","5","3","0","0","0","0","1","1","1","0","2","2","1","2","2","0","0","0","0","0","0","0","3","1","0","0","0","7","18","18","12","20","41","4","14","28","31","22","32","81","0","16","34","42","27","54","73","1","12","22","50","32","56","97","1","6","9","17","16","8","14","0","10","13","24","12","9","16","1","2","9","6","4","6","8","1","3","7","7","11","5","9","171","53","37","9","11","2","2","2","41","284","68","63","19","11","3","12","4","52","78","23","17","7","8","4","4","0","14","50","17","9","2","0","1","0","0","0"
"s25","voters","8203","961","273","486","58","3","8","13","0","3","0","117","422","539","92","48","29","9","6","10","4","2","0","0","0","0","3","0","0","0","3","2","0","0","1","0","0","2","0","0","0","0","1","7","1","0","1","10","15","12","13","15","35","1","17","20","19","22","26","67","0","19","19","29","35","51","79","1","16","20","26","35","57","99","2","5","7","12","4","13","8","2","7","13","10","8","12","14","0","1","6","7","9","4","11","1","5","2","9","6","13","11","134","46","31","11","12","4","9","2","24","256","60","64","13","10","2","10","3","68","65","16","10","4","5","5","1","1","10","43","12","15","3","3","4","4","0","1"
"s25","voters","8204","870","311","367","42","2","3","10","0","3","0","132","382","488","70","52","34","9","7","6","3","0","2","0","0","0","2","3","0","2","2","1","1","1","3","1","0","0","0","0","1","0","0","1","1","0","0","3","18","16","9","16","51","3","8","24","24","20","34","85","0","8","17","17","29","48","62","0","5","15","24","15","43","84","1","11","10","10","12","8","10","2","8","9","8","10","12","21","0","1","2","8","2","4","9","1","3","2","6","7","7","8","207","37","21","8","6","4","0","3","25","226","46","34","9","11","3","4","2","32","82","23","10","5","2","1","0","1","8","38","12","3","4","0","0","0","0","3"
"s25","voters","8205","344","92","206","10","1","1","3","0","1","0","30","162","182","22","12","6","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","0","1","4","1","2","3","6","21","0","3","5","4","2","9","31","1","5","6","11","18","20","37","0","2","7","12","10","29","48","1","1","3","3","1","0","6","0","2","3","3","1","3","3","0","0","1","2","3","3","2","0","2","1","1","0","0","1","47","21","11","1","2","0","1","2","7","110","25","23","7","4","1","3","5","28","17","4","3","0","3","0","1","1","1","8","4","1","0","0","2","0","0","1"
"s25","voters","8301","553","182","246","29","2","2","6","0","2","0","84","260","293","86","36","28","9","6","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","3","1","1","0","1","9","12","6","12","12","22","3","19","18","15","20","10","23","1","5","12","22","19","36","30","1","6","8","18","15","35","38","2","4","11","7","4","6","5","0","9","13","5","5","3","10","0","3","4","2","4","2","7","0","2","2","2","2","6","5","113","29","19","3","1","1","2","2","12","141","27","39","6","9","2","9","2","11","45","9","11","6","7","0","1","2","3","26","4","4","2","1","1","2","0","1"
